client_id,full_name,email,age,country,signup_date,last_purchase_date,total_spent,is_active,segment,phone_number
1,Jennifer Green,thull@yahoo.com,-5.0,CANADA,2025-10-29,2021-09-21,unknown,FALSE,VIP,242.194.8924x11578
2,Eugene Bowman,hramos@brown-sellers.com,23.0,United States,2024-04-04,2025-07-19,,False,VIP,+1-097-535-1393x3287
3,Francisco Romero,turnerkelly@gmail.com,150.0,CANADA,2023-09-11,2024-06-17,,False,,989.471.9659
124,Collin Lopez,rjones@gmail.com,27.0,PANAMA,2021-03-12,2020-07-19,,True,,001-868-483-3969x477
5,Louis Tucker,johndennis@gmail.com,63.0,panama,2022-09-27,2023-01-11,1108.52,FALSE,Basic,(560)123-0989
6,Mark Obrien,hdavis@jacobs.com,150.0,PANAMA,2021-12-01,2023-12-10,1455.45,true, V.I.P,008.691.4131
7,Christopher Gordon,lyonspeter@howard-dennis.org,-5.0,Canada,2022-08-05,2019-03-22,unknown,False,VIP,+1-225-841-9720x76984
8, Matthew Hernandez,vharmon@williams.info,-5.0,Canada,2023-04-25,2017-05-23,3393.62,False,Basic,001-924-661-0935
82,Mark Gray,moralesjacqueline@yahoo.com,150.0,CANADA,2021-04-06,2021-04-10,4058.14,FALSE,,142.787.8900x754
10,Rodney Mccann,amymccarty@gmail.com,-5.0,PANAMA,2021-12-22,2019-12-28,,true, V.I.P,(650)300-8913x1934
11,Catherine Alvarez,johnsonrobin@gmail.com,,USA,2021-12-31,2025-06-04,1662.68,True, V.I.P,512.400.0348x55909
254,Stephanie Bowman,jaredmatthews@gmail.com,26.0,Panama,2022-02-24,2022-03-05,,True,basic,551-590-0422x94568
13, John Allen,hayden81powell-murphy.biz,,PANAMA,2021-09-16,2024-08-20,3635.78,True,,755.171.7604x5229
14,Wendy Miller,karabrowngarcia.net,36.0,United States,2024-09-05,2024-01-09,,FALSE,Basic,001-361-534-9263
184,Rodney Farrell,mgoodwin@crawford.com,-5.0,Canada,2021-03-22,2021-09-13,4592.41,False, V.I.P,+1-213-765-8219x729
208,Jenny Boyd,obolton@hotmail.com,-5.0,PANAMA,2025-06-25,2025-01-19,2211.57,True,basic,055.508.2492
195,Michelle Roman,blackruth@perez.com,-5.0,Usa,2024-09-05,2022-09-05,,True,basic,(275)868-8091
18,Susan Harris,ybruce@hotmail.com,,panama,2022-11-07,2020-01-15,,true,Premium ,+1-024-894-5174x46660
84,Bethany Mitchell,mcmahontimothy@gmail.com,-5.0,Usa,2021-07-23,2025-08-05,4144.51,True,,001-256-097-6701x720
20,Brandi Nguyen,patrickfrank@yahoo.com,150.0,Usa,2021-05-17,2025-01-20,unknown,True,basic,001-795-194-2641x830
